Metric,Value
Average P99 Latency (s),
Max P99 Latency (s),
Min P99 Latency (s),
Average Queue Size,0.0
Max Queue Size,0.0
Min Queue Size,0.0
Average Replica Count,10.0
Max Replica Count,10.0
Min Replica Count,10.0
